word,count
governing,31
banking,13
european,12
website,12
available,11
institutions,10
opinion,10
adopted,9
union,9
approved,9
digital,9
decision,8
holdings,8
published,8
market,8
reporting,8
eurosystem,7
press,7
release,7
payments,7
amending,6
will,6
central,6
group,6
banks,6
board,6
guideline,6
securities,6
data,6
may,5
remuneration,5
reserves,5
related,5
bank,5
national,5
con,5
supervision,5
excess,4
relevant,4
new,4
non-bank,4
intermediation,4
framework,4
commission,4
integration,4
key,4
changes,4
development,4
sector,4
together,4
strategy,4
projects,4
standards,4
update,4
information,4
pilot,4
services,4
credit,4
request,4
statistics,4
